feed_id,title,feed_url,topics
6664823,"AI & The Future of Humanity:  Artificial Intelligence, Technology, VR, Algorithm, Automation, ChatBPT, Robotics, Augmented Reality, Big Data, IoT, Social Media, CGI, Generative-AI, Innovation, Nanotechnology, Science, Quantum Computing: The Creative Process Interviews",https://thecreativeprocess.squarespace.com/ai-the-future-of-humanity?format=rss,"technology-ai,science"
3443059,"Mastering Your Small Business Finances ~ Money Management, Bookkeeping, Entrepreneurship, Side Hustle, Accounting, Cash Flow, Solopreneur, Strategy, Tax, Virtual Assistant Marketing Mindset QuickBooks",https://feed.podbean.com/masteringyoursmallbusinessfinances/feed.xml,"business-startups,finance,sport,personal-development"
961932,"Food Business Marketing Podcast | Brand Strategy, Sales, & Growth for Food & Farm Brands",https://realfoodbrands.libsyn.com/rss,"business-startups,design"
6407753,"The HPS Podcast - Conversations from History, Philosophy and Social Studies of Science",https://rss.buzzsprout.com/2180146.rss,"science,history,philosophy"
104634,History and Philosophy of the Language Sciences,https://hiphilangsci.net/category/podcast/feed/,"science,history,philosophy"
3456913,"Early Retirement - Financial Freedom (Investing, Tax Planning, Retirement Strategy, Personal Finance)",https://rss.buzzsprout.com/1551448.rss,"finance,personal-development"
567476,"The VINTAGE HOUSE Show Podcast On Air & On-Line | Business, Culture, History of House Music",https://rss.buzzsprout.com/791804.rss,"history,culture,music,film-tv"
4488328,"Sustainability, Climate Change, Renewable Energy, Politics, Activism, Biodiversity, Carbon Footprint, Wildlife, Regenerative Agriculture, Circular Economy, Extinction, Net-Zero · One Planet Podcast",https://media.rss.com/oneplanet/feed.xml,"politics,climate-energy"
5593366,The Ambitious Nurse | Career Strategy for High-Performing Nurses Ready to Advance in Leadership,https://rss.buzzsprout.com/2007589.rss,"health-fitness,sport"
6151209,"Banned Camp: Banned Books, Comedy, and Free Speech vs. Censorship",https://feed.podbean.com/podu3/feed.xml,"culture,comedy,books-writing"
453575,Most Notorious! A True Crime History Podcast,https://feeds.megaphone.fm/ARML3921312481,"history,true-crime"
430529,"2B Bolder Podcast : Career Growth and Insights from Women in Business, Tech & Sports",https://rss.buzzsprout.com/778400.rss,"sport,personal-development"
279532,"Entrepreneur Parents - Pretty & Punk Podcast | Family Success, Business Tactics, Relationship Goals",https://prettyandpunk.libsyn.com/rss,personal-development
7230294,A Culinary Journey: Exploring the Art of Gourmet Cooking,https://feed.podbean.com/GourmetCooking/feed.xml,food-cooking
4458372,"The Creative Process in 10 minutes or less · Arts, Culture & Society: Books, Film, Music, TV, Art, Writing, Creativity, Education, Environment, Theatre, Dance, LGBTQ, Climate Change, Sustainability, Social Justice, Spirituality, Feminism, Technology",https://thecreativeprocess.squarespace.com/10mins?format=rss,"music,climate-energy"
6455438,Deep Thoughts About Stupid Sh*t: A Pop-Culture Comedy Podcast,https://rss.buzzsprout.com/2215123.rss,"culture,comedy,film-tv"
778435,Weird Science Marvel Comics Weekly Review Shows,https://feeds.transistor.fm/weird-science-marvel-comics,"culture,film-tv,books-writing"
7126905,"Ethical Bytes | Ethics, Philosophy, AI, Technology",https://anchor.fm/s/fc006f34/podcast/rss,"technology-ai,philosophy"
4037291,"One Planet Podcast · Climate Change, Politics, Sustainability, Environmental Solutions, Renewable Energy, Activism, Biodiversity, Carbon Footprint, Wildlife, Regenerative Agriculture, Circular Economy, Extinction, Net-Zero",https://thecreativeprocess.squarespace.com/oneplanet1?format=rss,"politics,climate-energy"
7391001,"Have Toga, Will Travel: Exploring Greece and Rome, Ancient and Modern",https://feeds.captivate.fm/have-toga-will-travel/,"history,travel"
4619724,"Tech, Innovation & Society - The Creative Process: Technology, AI, Software, Future, Economy, Science, Engineering & Robotics Interviews",https://thecreativeprocess.squarespace.com/technology-innovation-society?format=rss,technology-ai
7102627,Offer & Positioning Strategy for Expert Entrepreneurs | The OfferMojo Show,https://rss.buzzsprout.com/2425592.rss,"business-startups,sport,film-tv"
6174795,"Career Strategy Podcast with Sarah Doody | UX, Product Design, UX Research",https://podcasts.helloaudio.fm/podcast/a35a59b6-b767-4e4c-b3d3-aad5c75444d4/p7xbcwcBJo,"design,personal-development"
1320046,Come Rain or Shine,https://rss.buzzsprout.com/1136681.rss,"science,climate-energy"
6850641,"""WhatifAlthist"" | World History, Philosophy, Culture",https://feeds.megaphone.fm/whatifalthist,"history,culture"
327212,Financial Autonomy,https://financialautonomy.libsyn.com/rss,finance
180664,"Anglotopia Podcast | Discussing UK British Travel, History, Culture, London, British Slang, and More!",https://podcast.anglotopia.net/feed/podcast/anglotopia-podcast/,"history,culture,travel"
7794458,Social Science: SOCIOLOGY HISTORY POLITICS DISCOURSE And Critical thought,https://anchor.fm/s/eac5b580/podcast/rss,"history,politics"
722370,Find Your Edge: Training + Sports Nutrition Tools for Triathletes + Runners,https://rss.buzzsprout.com/942688.rss,"health-fitness,sport"
7574212,SUPER SORRY,https://feed.ausha.co/Z0AAOUXYOEVa,comedy
1291220,"Seriously Mysterious - Missing Persons, Unsolved Murders & Historical True Crime",https://www.spreaker.com/show/4532075/episodes/feed,true-crime
6737059,Live in the Lab with Keith Bilous,https://feeds.buzzsprout.com/2295080.rss,"sport,music"
391116,"Rich Dad Radio Show: In-Your-Face Advice on Investing, Personal Finance, & Starting a Business",https://feeds.libsyn.com/585625/rss,"finance,personal-development,film-tv"
7088025,The Liat Show,https://api.substack.com/feed/podcast/1720544.rss,"history,culture,food-cooking"
1197438,"The Creative Process · Arts, Culture & Society: Books, Film, Music, TV, Art, Writing, Creativity, Education, Environment, Theatre, Dance, LGBTQ, Climate Change, Social Justice, Spirituality, Feminism, Tech, Sustainability",https://media.rss.com/creativeprocess/feed.xml,"music,climate-energy"
392394,Weird Science DC Comics Podcast,https://weirdsciencedccomics.podbean.com/feed.xml,"culture,film-tv,books-writing"
997644,Geek Ultimate Alliance,https://www.spreaker.com/show/4330657/episodes/feed,"design,books-writing"
7694439,Three Contributions to the Theory of Sex,https://www.spreaker.com/show/6874516/episodes/feed,"politics,philosophy"
6686109,Talking Climate,https://feeds.buzzsprout.com/2276686.rss,"science,climate-energy"
7252697,"Small Ship Cruise Talk: River Cruises, Yacht, Barge and Expedition Cruising Tips & Travel Planning Advice",https://rss.buzzsprout.com/2448059.rss,travel
6325522,"AI Unraveled: Latest AI News, ChatGPT, Gemini, Claude, DeepSeek, Gen AI, LLMs, Agents, Ethics, Bias",https://media.rss.com/djamgatech/feed.xml,"technology-ai,philosophy"
7198436,MarketBeat | Stock Market News & Analysis,https://feeds.libsyn.com/563605/rss,"business-startups,finance"
57186,"This is HCD: Human-Centred Design, UX & Service Design",https://feeds.transistor.fm/the-human-centered-design-podcast-this-is-hcd-service-design-ux,design
7796532,Green Frequency | Environmental Science & Earth Radio,https://feeds.acast.com/public/shows/6991eca8483d38b26e6ccf2d,science
7310810,The Dance Lens Podcast,https://api.substack.com/feed/podcast/3977878.rss,"history,culture,politics"
664440,Smith and Marx Walk into a Bar: A History of Economics Podcast,https://hetpodcast.libsyn.com/rss,"history,finance"
5912149,Psychology of Ukrainian World History and Culture,https://feeds.buzzsprout.com/2099202.rss,"history,culture"
7060747,Diplomacy and International Relations,https://anchor.fm/s/fbc309a0/podcast/rss,politics
6330080,"Pelvic Floor, Core & More | Healing Beyond Kegels: Core Rehab, Prenatal Fitness, Birth Prep, Postpartum Recovery, Nervous System Regulation, and Holistic Self-Care for Moms",https://feed.podbean.com/TheBalancedMomtality/feed.xml,"science,health-fitness"
1420378,Subculture Theatre/Comedy/Literature Interviews & Reviews,https://www.spreaker.com/show/3132978/episodes/feed,comedy
412106,"True Crime Psychology and Personality: Narcissism, Psychopathy, and the Minds of Dangerous Criminals",https://feeds.megaphone.fm/truecrimepsychology,true-crime
6561858,"Budget Effect: How to Budget, How to Pay off Debt, Save Money, Live on a Budget, Improve your Money Mindset on a single income",https://rss.buzzsprout.com/2278885.rss,"finance,sport,personal-development"
7267601,"Inspiration Creek | Personal Growth, Mindset & Wellness for Women, Confidence Building, Healthy Habits",https://rss.buzzsprout.com/2463185.rss,personal-development
6745006,"Effective Weight Loss for Moms | High protein, Strength Training, Lose Weight, Meal Planning, Fat Loss, Healthy Habits",https://feed.podbean.com/EffectiveFitnessforWomen/feed.xml,"health-fitness,food-cooking"
6416422,"Artists To Watch Las Vegas | Music Interviews, Live Performances & Rising Artists",https://feeds.transistor.fm/artists-to-watch,music
415416,The 3028: Theme Park History & Pop Culture Listory,https://thirty20eight.libsyn.com/rss,"history,culture,film-tv"
1051687,"Public Speaking, Confidence, Storytelling, Selling, Personal Brand, Career Advancement: Be In Demand",https://feeds.captivate.fm/be-in-demand/,"design,books-writing"
7694008,Soul of Man,https://www.spreaker.com/show/6874293/episodes/feed,"politics,philosophy"
3672244,Energ’Ethic - Climate Justice and Energy Transition,https://feed.ausha.co/e14Y3fmkjrnW,climate-energy
7345087,Wander Worldschool: Helping Families Plan & Fund Slow & Long Term Travel,https://rss.buzzsprout.com/2504669.rss,travel
987473,"AI and the Future of Work: Artificial Intelligence in the Workplace, Business, Ethics, HR, and IT for AI Enthusiasts, Leaders and Academics",https://rss.buzzsprout.com/520474.rss,"technology-ai,philosophy"
1229393,"Wealth Juice | Real Estate, Entrepreneurship & Investing",https://feeds.simplecast.com/88iG9CIS,"business-startups,finance"
1330322,"The Angry Designer  Graphic Design, Freelancing, Branding & Creative Business Podcast",https://rss.buzzsprout.com/1351396.rss,design
7569293,"Nature Loving Kids: Nature Life, Christian Kids, Animals for Kids, Christian Kid Podcast",https://rss.buzzsprout.com/2554011.rss,"science,travel"
1388050,American Political History,https://rss.buzzsprout.com/1732974.rss,"history,politics"
3531170,Your Financial EKG™ | Retirement Planning | Investment and Wealth Management | Financial Planning,https://anchor.fm/s/47ea3ac0/podcast/rss,finance
5584401,Pop Culture Passport - Exploring Quirky & Cool Travel Destinations in the USA,https://rss.buzzsprout.com/2411894.rss,"culture,film-tv,travel"
6827557,Govern America with Darren Weeks and Vicky Davis,https://www.republicbroadcastingarchives.org/category/darren-weeks-and-vicky-davis/feed/,politics
